idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location,anomaly_label_x,anomaly_label_y,net_spending,fee_ratio,cashback_ratio,points_per_dollar,hour,weekday,is_weekend,day_part,transactions_per_user,avg_spent_per_user,merchant_transaction_count
1,4dac3ea3-6492-46ec-80b8-dc45c3ad0b14,USER_05159,2023-08-19 03:32:00,Rent Payment,2BHK Flat Deposit,Airbnb,1525.39,36.69,19.19,186,Debit Card,Successful,MERCH_0083,iOS,Urban,normal,normal,1506.2,0.02405286516890762,0.012580389277496247,0.12193602947442948,3,5,1,Night,1,1525.39,9
2,a903ed9f-eb84-47e7-b8aa-fd1786c919cf,USER_07204,2023-08-19 04:37:00,Gas Bill,Commercial Gas Connection,Adani Gas,1495.4,28.19,89.99,182,UPI,Successful,MERCH_0163,iOS,Urban,normal,normal,1405.41,0.018851143506754046,0.06017787882840711,0.12170656680486826,4,5,1,Night,1,1495.4,9
3,2a393013-733c-4add-9f09-bed1eeb33676,USER_00903,2023-08-19 05:52:00,Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,1267.71,11.36,95.7,994,UPI,Successful,MERCH_0320,iOS,Urban,normal,normal,1172.01,0.008961039985485638,0.07549045128617744,0.7840909987299934,5,5,1,Night,1,1267.71,6
4,9a07ad19-4673-4794-9cd2-9b139f39c715,USER_01769,2023-08-19 06:35:00,Internet Bill,4G Unlimited Plan,Airtel Broadband,9202.63,6.41,82.24,409,Debit Card,Successful,MERCH_0194,Android,Urban,normal,normal,9120.39,0.000696540010844726,0.008936575739761352,0.04444381660460108,6,5,1,Morning,1,9202.63,12
5,76418260-c985-4011-979d-0914604d0d68,USER_03544,2023-08-19 06:36:00,Loan Repayment,Home Loan EMI,Axis Bank,3100.58,41.15,40.47,837,Debit Card,Successful,MERCH_0504,Android,Urban,normal,normal,3060.11,0.01327171045417309,0.013052396648369016,0.2699494933206045,6,5,1,Morning,1,3100.58,4
6,2ee6c8d8-9e9e-47b6-95e8-932af851ca43,USER_07548,2023-08-19 06:46:00,Flight Booking,Delhi to Mumbai,Yatra,8430.75,44.55,52.61,269,UPI,Successful,MERCH_0476,Android,Urban,normal,normal,8378.14,0.005284227381905524,0.006240251460427601,0.031907007087151204,6,5,1,Morning,1,8430.75,5
7,89df83e5-98d3-4c0f-b273-59b0d057fc34,USER_05280,2023-08-19 07:15:00,Hotel Booking,Villa,Treebo,6688.17,49.62,22.18,58,UPI,Successful,MERCH_0441,Android,Urban,normal,normal,6665.99,0.007419069790391093,0.0033163032638225402,0.00867202837248455,7,5,1,Morning,4,5870.5875,3
8,1a8ab910-657a-4e57-90ec-90420290e8a1,USER_03459,2023-08-19 07:57:00,Gas Bill,Piped Natural Gas,Adani Gas,1802.28,0.11,14.56,950,UPI,Successful,MERCH_0938,iOS,Urban,normal,normal,1787.72,6.103380162904765e-05,0.00807865592471758,0.5271101049781388,7,5,1,Morning,2,4004.725,6
9,48fc902d-0952-4a20-9d57-b54663affe79,USER_04329,2023-08-19 09:14:00,Internet Bill,Broadband 50Mbps Plan,Airtel Broadband,4262.28,2.66,67.63,675,UPI,Successful,MERCH_0156,iOS,Urban,normal,normal,4194.65,0.0006240791313569265,0.015867094606642453,0.15836594498718998,9,5,1,Morning,1,4262.28,8
10,19c7d2d5-8566-42ba-95aa-8d803cfeeffd,USER_07264,2023-08-19 10:01:00,Insurance Premium,Term Life Policy,Max Life,2207.9,45.7,21.87,129,Wallet Balance,Successful,MERCH_0245,iOS,Urban,normal,normal,2186.03,0.020698401195706328,0.009905339915757054,0.058426559173875625,10,5,1,Morning,2,3242.83,14
11,b7d8c70d-b6c8-433b-9f80-f9f5ce2d4fc4,USER_00434,2023-08-19 10:15:00,Online Shopping,Fitness Tracker,Flipkart,3186.45,36.06,16.12,812,UPI,Successful,MERCH_0371,iOS,Suburban,normal,normal,3170.33,0.011316669020383186,0.005058921370176843,0.25482904172354814,10,5,1,Morning,1,3186.45,4
12,28895ba8-e569-4de1-a8a7-4d24170569c0,USER_00723,2023-08-19 11:25:00,Mobile Recharge,Prepaid Plan 399,BSNL,403.2,10.51,27.03,334,Credit Card,Successful,MERCH_0376,Android,Rural,normal,normal,376.16999999999996,0.026066468253968255,0.06703869047619049,0.8283730158730159,11,5,1,Morning,2,2475.91,14
13,67709f94-e412-46f9-9358-c1203a7f4ade,USER_01944,2023-08-19 12:17:00,Online Shopping,Laptop Backpack,Myntra,9421.81,13.69,66.79,522,UPI,Successful,MERCH_0130,Android,Suburban,normal,normal,9355.019999999999,0.0014530116824686553,0.007088871458881044,0.05540336729354551,12,5,1,Afternoon,1,9421.81,11
14,2b99ee3a-d0a0-413f-a8c7-83c4976e4994,USER_06471,2023-08-19 13:37:00,Electricity Bill,Temporary Connection Bill,BSES,5297.09,5.81,95.25,910,Wallet Balance,Successful,MERCH_0961,Android,Urban,normal,normal,5201.84,0.0010968286361001983,0.017981571013518743,0.17179243697954916,13,5,1,Afternoon,1,5297.09,7
15,08bd39d8-56cc-4bdf-ae2f-9c515145290d,USER_01395,2023-08-19 14:23:00,Rent Payment,Co-working Space,NoBroker,3101.18,43.42,81.83,882,Bank Transfer,Successful,MERCH_0227,Android,Urban,normal,normal,3019.35,0.014001122153502861,0.026386730212370774,0.2844078705524994,14,5,1,Afternoon,2,2555.71,6
16,08daafc2-28d9-4bed-a414-fd185a73216d,USER_00384,2023-08-19 15:34:00,Gas Bill,Auto LPG,Indraprastha Gas,1440.26,7.56,1.35,547,Debit Card,Successful,MERCH_0240,iOS,Suburban,normal,normal,1438.91,0.0052490522544540565,0.0009373307597239388,0.37979253745851443,15,5,1,Afternoon,1,1440.26,4
17,29e70ed2-53d7-4d3e-bfa4-a43a01b3c43a,USER_00257,2023-08-19 15:39:00,Streaming Service,Premium Plan,Netflix,2402.15,47.58,21.69,578,Debit Card,Successful,MERCH_0201,Android,Rural,normal,normal,2380.46,0.019807255999833483,0.009029411152509211,0.24061777990550132,15,5,1,Afternoon,2,1654.6100000000001,10
18,b44347b1-6541-4e51-8d10-8c8290455a07,USER_04931,2023-08-19 16:08:00,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,3595.19,14.82,10.09,230,Wallet Balance,Successful,MERCH_0933,Android,Urban,normal,normal,3585.1,0.004122174349617127,0.0028065276105018093,0.06397436574979347,16,5,1,Afternoon,2,2220.315,5
19,f0557048-85f4-48d1-a39f-c8820380254c,USER_05181,2023-08-19 16:17:00,Flight Booking,Delhi to Mumbai,Yatra,9930.71,43.57,35.17,759,Credit Card,Successful,MERCH_0407,Android,Urban,normal,normal,9895.539999999999,0.004387400296655526,0.0035415393259897836,0.07642958056372606,16,5,1,Afternoon,2,9606.415,3
20,270daf0a-8051-4c9b-8391-130eb2072ea8,USER_07275,2023-08-19 18:01:00,Taxi Fare,Share Ride,Meru,307.81,3.26,2.42,568,UPI,Successful,MERCH_0655,Web,Rural,normal,normal,305.39,0.010590948962022026,0.007861992787758683,1.845294174978071,18,5,1,Evening,1,307.81,10
21,333d21ec-009d-4791-a25f-727ba14174fb,USER_05710,2023-08-19 19:41:00,Taxi Fare,Share Ride,Ola,8996.0,35.05,14.66,779,Bank Transfer,Successful,MERCH_0685,Android,Urban,normal,normal,8981.34,0.0038961760782570028,0.001629613161405069,0.08659404179635394,19,5,1,Evening,2,9248.744999999999,4
22,bb2a7fb0-ab50-4a32-8ebc-b914512ff56b,USER_03731,2023-08-19 20:14:00,Gaming Credits,500 Gems Pack,Roblox,1558.03,33.53,96.45,254,Credit Card,Successful,MERCH_0885,Android,Urban,normal,normal,1461.58,0.02152076660911536,0.06190509810465781,0.16302638588473906,20,5,1,Evening,2,5566.9400000000005,4
23,d447afd8-0001-4ea2-9e42-24e83d5ecd6a,USER_01167,2023-08-19 20:29:00,Water Bill,Industrial Use,Delhi Jal Board,2699.87,14.68,54.23,773,Bank Transfer,Successful,MERCH_0760,Android,Rural,normal,normal,2645.64,0.00543729883290677,0.020086152296221668,0.2863100815965213,20,5,1,Evening,1,2699.87,6
24,f8c53632-5ccb-4a8c-a48a-38ff20d1f05d,USER_06153,2023-08-20 01:59:00,Bus Ticket,AC Seater,MakeMyTrip Bus,2991.37,15.24,63.7,468,Debit Card,Successful,MERCH_0330,Web,Suburban,normal,normal,2927.67,0.00509465562601751,0.021294590772789727,0.15645005465723064,1,6,1,Night,1,2991.37,8
25,1314dd52-b80f-4b5f-9e4c-2834731a390e,USER_01839,2023-08-20 02:57:00,Rent Payment,Commercial Space Rent,Nestaway,5140.78,0.84,15.7,519,Debit Card,Successful,MERCH_0534,Android,Urban,normal,normal,5125.08,0.00016339932850656903,0.003054011258991826,0.10095744225584445,2,6,1,Night,1,5140.78,6
26,1dab5c5f-d3fb-43de-a225-29c113d42a49,USER_09865,2023-08-20 03:45:00,Online Shopping,Smart LED TV,Flipkart,7076.38,19.16,41.87,202,Wallet Balance,Successful,MERCH_0709,iOS,Urban,normal,normal,7034.51,0.002707599083147033,0.005916867098714314,0.02854566883067331,3,6,1,Night,3,5421.87,3
27,8bc5bb94-fead-469a-9a3a-50bd1ba3e5a7,USER_05566,2023-08-20 06:14:00,Flight Booking,Chennai to Hyderabad,Yatra,2956.08,8.75,20.1,556,Wallet Balance,Successful,MERCH_0153,Android,Suburban,normal,normal,2935.98,0.0029600010825146816,0.006799545343833726,0.18808692592893292,6,6,1,Morning,2,3937.2599999999998,8
28,37bf717f-c8f9-46c9-baf5-0d66ac683bab,USER_04900,2023-08-20 06:47:00,Loan Repayment,Car Loan Installment,Axis Bank,6916.55,37.41,50.01,616,UPI,Successful,MERCH_0009,Android,Suburban,normal,normal,6866.54,0.005408765930991606,0.007230483405744193,0.08906174321012643,6,6,1,Morning,1,6916.55,7
29,dbf8a78a-9f24-433c-b917-216835e77971,USER_06975,2023-08-20 07:57:00,Taxi Fare,Share Ride,Ola,5642.55,33.5,23.13,38,Bank Transfer,Successful,MERCH_0838,Web,Rural,normal,normal,5619.42,0.0059370320156666755,0.004099210463354334,0.006734543778965184,7,6,1,Morning,2,5812.495,4
30,cdfbd280-df3c-4003-bf4c-c258705becff,USER_08737,2023-08-20 13:14:00,Gas Bill,Commercial Gas Connection,Mahanagar Gas,9734.95,48.71,87.78,447,UPI,Successful,MERCH_0390,Android,Urban,normal,normal,9647.17,0.005003620973913579,0.009016995464794375,0.045917030904113525,13,6,1,Afternoon,2,9777.060000000001,8
31,9b904efa-3212-420a-a6be-dc81021c3e9d,USER_08347,2023-08-20 15:20:00,Electricity Bill,Residential Bill,MSEDCL,1916.58,38.48,10.81,83,Credit Card,Successful,MERCH_0043,iOS,Urban,normal,normal,1905.77,0.020077429588120504,0.005640255037619093,0.043306306024272406,15,6,1,Afternoon,1,1916.58,5
32,077cfec0-22d4-4dec-95bd-eb2cc5d4c25e,USER_06829,2023-08-20 16:29:00,Taxi Fare,Share Ride,Jugnoo,2014.63,23.48,92.5,370,Wallet Balance,Successful,MERCH_0074,Android,Urban,normal,normal,1922.13,0.011654745536401225,0.045914138079945196,0.18365655231978079,16,6,1,Afternoon,2,2947.2,8
33,b7ca9f03-f6e8-455e-844a-b91441255cc9,USER_04117,2023-08-20 17:38:00,Water Bill,Commercial Property,Hyderabad Water Board,1296.33,43.54,87.9,698,Debit Card,Successful,MERCH_0448,Android,Urban,normal,normal,1208.4299999999998,0.033587126734704896,0.0678068084515517,0.5384431433354162,17,6,1,Afternoon,2,1722.295,7
34,70f52836-0d7b-49f2-af0b-a390f87693a2,USER_06155,2023-08-20 17:40:00,Electricity Bill,Agricultural Bill,Tata Power,9313.74,44.37,16.47,594,Bank Transfer,Successful,MERCH_0203,Android,Rural,normal,normal,9297.27,0.004763929420404692,0.0017683551398256767,0.0637767427478113,17,6,1,Afternoon,2,8983.5,6
35,d050b5a1-b31b-4c46-aa89-8c5a78200102,USER_00051,2023-08-20 17:50:00,Bus Ticket,Non-AC Seater,RedBus,6734.22,36.88,64.16,424,Wallet Balance,Successful,MERCH_0785,Android,Urban,normal,normal,6670.06,0.005476506559037276,0.009527458265396733,0.06296200599327019,17,6,1,Afternoon,3,5034.336666666667,4
36,d081075a-7ada-47e5-a2d9-1e652a151d8f,USER_00930,2023-08-20 18:16:00,Internet Bill,4G Unlimited Plan,Jio Fiber,1760.92,38.5,86.45,280,Bank Transfer,Successful,MERCH_0630,Web,Rural,normal,normal,1674.47,0.021863571314994435,0.04909365558912387,0.1590077913817777,18,6,1,Evening,4,3991.315,8
37,1d870c66-f544-4a8f-8533-ec11510773b1,USER_03591,2023-08-20 19:48:00,Insurance Premium,Health Insurance,Max Life,5183.52,35.92,41.85,806,UPI,Successful,MERCH_0074,Android,Urban,normal,normal,5141.67,0.006929653980306818,0.008073664228169275,0.15549279254251935,19,6,1,Evening,2,5574.82,8
38,3361b17a-9c0e-4ff3-8c2d-fd87a63d6110,USER_02590,2023-08-20 19:50:00,Internet Bill,Business Internet Plan,ACT Fibernet,8721.2,34.19,70.07,877,Credit Card,Successful,MERCH_0547,Android,Urban,normal,normal,8651.130000000001,0.0039203320643948075,0.00803444480117415,0.10055955602440031,19,6,1,Evening,1,8721.2,5
39,a4fe9f29-a3f4-4516-a39f-861aa0cb60b7,USER_03043,2023-08-20 19:51:00,Gaming Credits,Legendary Weapon,Call of Duty Mobile,7975.27,3.56,18.94,349,Bank Transfer,Successful,MERCH_0251,Android,Suburban,normal,normal,7956.330000000001,0.00044637987177863567,0.002374841227945888,0.04376027394683816,19,6,1,Evening,1,7975.27,6
40,2ae5a3bb-d9d0-4f64-9922-04b8344108a5,USER_03935,2023-08-20 21:03:00,Movie Ticket,Baahubali 2,Carnival Cinemas,5741.96,24.87,3.55,60,UPI,Successful,MERCH_0245,Android,Urban,normal,normal,5738.41,0.00433127364175299,0.0006182557872224815,0.010449393586858842,21,6,1,Evening,1,5741.96,14
41,bd51839f-7dd2-4d26-91e2-4504b79c1dde,USER_03336,2023-08-20 22:06:00,Loan Repayment,Business Loan Repayment,ICICI Bank,2578.28,35.06,59.04,78,Bank Transfer,Successful,MERCH_0073,Android,Urban,normal,normal,2519.2400000000002,0.013598212761996369,0.022898986921513566,0.03025272662395085,22,6,1,Evening,1,2578.28,7
